"Dimension","Validation_Cor","Algorithm","Scenario","Fold"
10,-1,"MDS","dim10_L_noise_bias",1
10,0.794398835246404,"MDS","dim10_L_noise_bias",2
10,0.982431265076094,"MDS","dim10_L_noise_bias",3
10,1,"MDS","dim10_L_noise_bias",4
10,0.0721134897987789,"MDS","dim10_L_noise_bias",5
10,0.920824296442889,"MDS","dim10_L_noise_bias",6
10,-0.216028420435891,"MDS","dim10_L_noise_bias",7
10,1,"MDS","dim10_L_noise_bias",8
10,0.844327891106866,"MDS","dim10_L_noise_bias",9
10,NA,"MDS","dim10_L_noise_bias",10
10,1,"MDS","dim10_L_noise_bias",11
10,0.99562923277889,"MDS","dim10_L_noise_bias",12
10,1,"MDS","dim10_L_noise_bias",13
10,0.911923547263812,"MDS","dim10_L_noise_bias",14
10,NA,"MDS","dim10_L_noise_bias",15
10,0.953771938558326,"MDS","dim10_L_noise_bias",16
10,0.695097939723579,"MDS","dim10_L_noise_bias",17
10,0.980397019097119,"MDS","dim10_L_noise_bias",18
10,NA,"MDS","dim10_L_noise_bias",19
10,0.951634727588747,"MDS","dim10_L_noise_bias",20
